country,year,le
"Albania",1981,70.416
"Albania",1982,70.635
"Albania",1983,70.876
"Albania",1984,71.134
"Albania",1985,71.388
"Albania",1986,71.605
"Albania",1987,71.76
"Albania",1988,71.843
"Albania",1989,71.86
"Albania",1990,71.836
"Albania",1991,71.803
"Albania",1992,71.802
"Albania",1993,71.86
"Albania",1994,71.992
"Albania",1995,72.205
"Albania",1996,72.495
"Albania",1997,72.838
"Albania",1998,73.208
"Albania",1999,73.588
"Albania",2000,73.955
"Albania",2001,74.286
"Albania",2002,74.575
"Albania",2003,74.82
"Albania",2004,75.028
"Albania",2005,75.217
"Albania",2006,75.418
"Albania",2007,75.656
"Albania",2008,75.943
"Albania",2009,76.281
"Albania",2010,76.652
"Albania",2011,77.031
"Albania",2012,77.389
"Albania",2013,77.702
"Albania",2014,77.963
"Algeria",1981,59.521
"Algeria",1982,60.823
"Algeria",1983,62.047
"Algeria",1984,63.156
"Algeria",1985,64.113
"Algeria",1986,64.896
"Algeria",1987,65.525
"Algeria",1988,66.025
"Algeria",1989,66.416
"Algeria",1990,66.725
"Algeria",1991,66.983
"Algeria",1992,67.226
"Algeria",1993,67.482
"Algeria",1994,67.774
"Algeria",1995,68.115
"Algeria",1996,68.504
"Algeria",1997,68.926
"Algeria",1998,69.367
"Algeria",1999,69.822
"Algeria",2000,70.292
"Algeria",2001,70.778
"Algeria",2002,71.276
"Algeria",2003,71.78
"Algeria",2004,72.281
"Algeria",2005,72.767
"Algeria",2006,73.225
"Algeria",2007,73.648
"Algeria",2008,74.032
"Algeria",2009,74.374
"Algeria",2010,74.676
"Algeria",2011,74.944
"Algeria",2012,75.187
"Algeria",2013,75.418
"Algeria",2014,75.641
"Andorra",1981,
"Andorra",1982,
"Andorra",1983,
"Andorra",1984,
"Andorra",1985,
"Andorra",1986,
"Andorra",1987,
"Andorra",1988,
"Andorra",1989,
"Andorra",1990,
"Andorra",1991,
"Andorra",1992,
"Andorra",1993,
"Andorra",1994,
"Andorra",1995,
"Andorra",1996,
"Andorra",1997,
"Andorra",1998,
"Andorra",1999,
"Andorra",2000,
"Andorra",2001,
"Andorra",2002,
"Andorra",2003,
"Andorra",2004,
"Andorra",2005,
"Andorra",2006,
"Andorra",2007,
"Andorra",2008,
"Andorra",2009,
"Andorra",2010,
"Andorra",2011,
"Andorra",2012,
"Andorra",2013,
"Andorra",2014,
"Argentina",1981,69.746
"Argentina",1982,70.003
"Argentina",1983,70.234
"Argentina",1984,70.438
"Argentina",1985,70.623
"Argentina",1986,70.797
"Argentina",1987,70.971
"Argentina",1988,71.155
"Argentina",1989,71.352
"Argentina",1990,71.565
"Argentina",1991,71.79
"Argentina",1992,72.023
"Argentina",1993,72.256
"Argentina",1994,72.489
"Argentina",1995,72.719
"Argentina",1996,72.947
"Argentina",1997,73.173
"Argentina",1998,73.397
"Argentina",1999,73.618
"Argentina",2000,73.832
"Argentina",2001,74.039
"Argentina",2002,74.236
"Argentina",2003,74.424
"Argentina",2004,74.603
"Argentina",2005,74.775
"Argentina",2006,74.941
"Argentina",2007,75.105
"Argentina",2008,75.268
"Argentina",2009,75.431
"Argentina",2010,75.595
"Argentina",2011,75.761
"Argentina",2012,75.926
"Argentina",2013,76.089
"Argentina",2014,76.252
"Armenia",1981,70.91
"Armenia",1982,70.776
"Armenia",1983,70.519
"Armenia",1984,70.15
"Armenia",1985,69.698
"Armenia",1986,69.205
"Armenia",1987,68.732
"Armenia",1988,68.332
"Armenia",1989,68.038
"Armenia",1990,67.879
"Armenia",1991,67.87
"Armenia",1992,67.99
"Armenia",1993,68.218
"Armenia",1994,68.538
"Armenia",1995,68.938
"Armenia",1996,69.404
"Armenia",1997,69.912
"Armenia",1998,70.434
"Armenia",1999,70.944
"Armenia",2000,71.409
"Armenia",2001,71.8
"Armenia",2002,72.112
"Armenia",2003,72.347
"Armenia",2004,72.512
"Armenia",2005,72.625
"Armenia",2006,72.715
"Armenia",2007,72.815
"Armenia",2008,72.946
"Armenia",2009,73.119
"Armenia",2010,73.331
"Armenia",2011,73.571
"Armenia",2012,73.814
"Armenia",2013,74.044
"Armenia",2014,74.255
"Australia",1981,74.66341
"Australia",1982,74.90488
"Australia",1983,75.14634
"Australia",1984,75.3878
"Australia",1985,75.62926
"Australia",1986,75.87074
"Australia",1987,76.15171
"Australia",1988,76.43269
"Australia",1989,76.71366
"Australia",1990,76.99464
"Australia",1991,77.27561
"Australia",1992,77.37805
"Australia",1993,77.87805
"Australia",1994,77.87805
"Australia",1995,77.82927
"Australia",1996,78.07805
"Australia",1997,78.48048
"Australia",1998,78.63171
"Australia",1999,78.93171
"Australia",2000,79.23415
"Australia",2001,79.63415
"Australia",2002,79.93658
"Australia",2003,80.23902
"Australia",2004,80.49024
"Australia",2005,80.84146
"Australia",2006,81.04147
"Australia",2007,81.29269
"Australia",2008,81.39512
"Australia",2009,81.5439
"Australia",2010,81.69512
"Australia",2011,81.89512
"Australia",2012,82.04634
"Australia",2013,82.14878
"Australia",2014,82.3
"Azerbaijan",1981,64.28
"Azerbaijan",1982,64.424
"Azerbaijan",1983,64.587
"Azerbaijan",1984,64.759
"Azerbaijan",1985,64.913
"Azerbaijan",1986,65.016
"Azerbaijan",1987,65.053
"Azerbaijan",1988,65.021
"Azerbaijan",1989,64.935
"Azerbaijan",1990,64.827
"Azerbaijan",1991,64.745
"Azerbaijan",1992,64.731
"Azerbaijan",1993,64.81
"Azerbaijan",1994,64.991
"Azerbaijan",1995,65.256
"Azerbaijan",1996,65.573
"Azerbaijan",1997,65.899
"Azerbaijan",1998,66.207
"Azerbaijan",1999,66.491
"Azerbaijan",2000,66.763
"Azerbaijan",2001,67.054
"Azerbaijan",2002,67.391
"Azerbaijan",2003,67.791
"Azerbaijan",2004,68.249
"Azerbaijan",2005,68.75
"Azerbaijan",2006,69.269
"Azerbaijan",2007,69.774
"Azerbaijan",2008,70.238
"Azerbaijan",2009,70.646
"Azerbaijan",2010,70.987
"Azerbaijan",2011,71.26
"Azerbaijan",2012,71.478
"Azerbaijan",2013,71.656
"Azerbaijan",2014,71.8
"Bahrain",1981,69.95
"Bahrain",1982,70.316
"Bahrain",1983,70.65
"Bahrain",1984,70.956
"Bahrain",1985,71.237
"Bahrain",1986,71.495
"Bahrain",1987,71.735
"Bahrain",1988,71.962
"Bahrain",1989,72.179
"Bahrain",1990,72.39
"Bahrain",1991,72.598
"Bahrain",1992,72.803
"Bahrain",1993,73.006
"Bahrain",1994,73.209
"Bahrain",1995,73.413
"Bahrain",1996,73.619
"Bahrain",1997,73.826
"Bahrain",1998,74.033
"Bahrain",1999,74.239
"Bahrain",2000,74.44
"Bahrain",2001,74.635
"Bahrain",2002,74.822
"Bahrain",2003,74.999
"Bahrain",2004,75.167
"Bahrain",2005,75.326
"Bahrain",2006,75.478
"Bahrain",2007,75.625
"Bahrain",2008,75.77
"Bahrain",2009,75.913
"Bahrain",2010,76.056
"Bahrain",2011,76.199
"Bahrain",2012,76.341
"Bahrain",2013,76.482
"Bahrain",2014,76.622
"Bangladesh",1981,53.917
"Bangladesh",1982,54.292
"Bangladesh",1983,54.678
"Bangladesh",1984,55.102
"Bangladesh",1985,55.578
"Bangladesh",1986,56.102
"Bangladesh",1987,56.654
"Bangladesh",1988,57.22
"Bangladesh",1989,57.8
"Bangladesh",1990,58.401
"Bangladesh",1991,59.033
"Bangladesh",1992,59.7
"Bangladesh",1993,60.4
"Bangladesh",1994,61.127
"Bangladesh",1995,61.868
"Bangladesh",1996,62.61
"Bangladesh",1997,63.338
"Bangladesh",1998,64.038
"Bangladesh",1999,64.702
"Bangladesh",2000,65.324
"Bangladesh",2001,65.903
"Bangladesh",2002,66.448
"Bangladesh",2003,66.965
"Bangladesh",2004,67.46
"Bangladesh",2005,67.937
"Bangladesh",2006,68.403
"Bangladesh",2007,68.861
"Bangladesh",2008,69.312
"Bangladesh",2009,69.759
"Bangladesh",2010,70.198
"Bangladesh",2011,70.626
"Bangladesh",2012,71.039
"Bangladesh",2013,71.431
"Bangladesh",2014,71.803
"Belarus",1981,69.81917
"Belarus",1982,69.90822
"Belarus",1983,70.06466
"Belarus",1984,70.27193
"Belarus",1985,70.99268
"Belarus",1986,71.54951
"Belarus",1987,70.99024
"Belarus",1988,71.34146
"Belarus",1989,71.48293
"Belarus",1990,70.83659
"Belarus",1991,70.37805
"Belarus",1992,70.02195
"Belarus",1993,68.97073
"Belarus",1994,68.7683
"Belarus",1995,68.46098
"Belarus",1996,68.51219
"Belarus",1997,68.46098
"Belarus",1998,68.40732
"Belarus",1999,67.90732
"Belarus",2000,68.91219
"Belarus",2001,68.50732
"Belarus",2002,68.0561
"Belarus",2003,68.55366
"Belarus",2004,68.9561
"Belarus",2005,68.85122
"Belarus",2006,69.40488
"Belarus",2007,70.20731
"Belarus",2008,70.4561
"Belarus",2009,70.40732
"Belarus",2010,70.40488
"Belarus",2011,70.55366
"Belarus",2012,71.96585
"Belarus",2013,72.47073
"Belarus",2014,72.97073
"Bosnia",1981,70.601
"Bosnia",1982,70.82
"Bosnia",1983,71.061
"Bosnia",1984,71.315
"Bosnia",1985,71.534
"Bosnia",1986,71.65
"Bosnia",1987,71.626
"Bosnia",1988,71.461
"Bosnia",1989,71.185
"Bosnia",1990,70.877
"Bosnia",1991,70.645
"Bosnia",1992,70.577
"Bosnia",1993,70.724
"Bosnia",1994,71.091
"Bosnia",1995,71.643
"Bosnia",1996,72.306
"Bosnia",1997,72.977
"Bosnia",1998,73.572
"Bosnia",1999,74.057
"Bosnia",2000,74.413
"Bosnia",2001,74.653
"Bosnia",2002,74.824
"Bosnia",2003,74.967
"Bosnia",2004,75.096
"Bosnia",2005,75.223
"Bosnia",2006,75.353
"Bosnia",2007,75.486
"Bosnia",2008,75.619
"Bosnia",2009,75.758
"Bosnia",2010,75.905
"Bosnia",2011,76.06
"Bosnia",2012,76.223
"Bosnia",2013,76.39
"Bosnia",2014,76.561
"Brazil",1981,62.264
"Brazil",1982,62.559
"Brazil",1983,62.866
"Brazil",1984,63.185
"Brazil",1985,63.514
"Brazil",1986,63.852
"Brazil",1987,64.197
"Brazil",1988,64.552
"Brazil",1989,64.917
"Brazil",1990,65.3
"Brazil",1991,65.708
"Brazil",1992,66.144
"Brazil",1993,66.607
"Brazil",1994,67.095
"Brazil",1995,67.6
"Brazil",1996,68.112
"Brazil",1997,68.622
"Brazil",1998,69.12
