Country Name	v1990	v1991	v1992	v1993	v1994	v1995	v1996	v1997	v1998	v1999	v2000	v2001	v2002	v2003	v2004	v2005	v2006	v2007	v2008	v2009	v2010	v2011	v2012	v2013	v2014
Aruba																						3671232222			
Afghanistan													19243809663	21284923743	22101051955	25361507050	27592569519	32219074825	34037462001	41505186409	45555113006	49338254431	57500127993	60707816634	63459994842
Angola	34569336017	35291341121	33605213160	25906791102	27384156308	30862652597	34945786283	38351851583	41406142195	43401794411	45726453705	48742596951	46055962673	49439320644	56325455002	68754610654	85561283210	1.07684E+11	1.24967E+11	1.28954E+11	1.34977E+11	1.43162E+11	1.53316E+11	1.66407E+11	1.77532E+11
Albania	8946888685	6509276808	6178307613	6932535057	7667714308	8868713893	9852403152	8934962899	10041377979	11473514055	12445742206	13639532693	14506495976	15546789901	16717730019	17896917936	19846079991	21655106012	24251493150	25800962689	28073789440	29655546966	30530320547	30603881457	32529186105
Andorra																									
Arab World	1.51916E+12	1.57467E+12	1.69068E+12	1.78419E+12	1.87638E+12	1.96737E+12	2.09456E+12	2.22108E+12	2.37155E+12	2.46479E+12	2.64895E+12	2.75758E+12	2.8161E+12	2.99953E+12	3.36508E+12	3.66886E+12	4.01412E+12	4.30759E+12	4.6487E+12	4.72873E+12	5.01644E+12	5.27124E+12	5.64203E+12	5.93478E+12	6.21502E+12
United Arab Emirates	1.33535E+11	1.39166E+11	1.471E+11	1.52499E+11	1.66485E+11	1.81323E+11	1.95339E+11	2.14956E+11	2.17923E+11	2.27679E+11	2.58132E+11	2.67708E+11	2.78432E+11	3.08976E+11	3.47843E+11	3.76467E+11	4.26205E+11	4.51481E+11	4.75031E+11	4.53544E+11	4.66591E+11	5.06507E+11	5.42169E+11	5.82823E+11	6.12772E+11
Argentina	2.28799E+11	2.66368E+11	3.04971E+11	3.3067E+11	3.57416E+11	3.5449E+11	3.8091E+11	4.18854E+11	4.39701E+11	4.31317E+11	4.37651E+11	4.27889E+11	3.87126E+11	4.29738E+11	4.81425E+11	5.40901E+11	6.02383E+11	6.7412E+11	7.1523E+11	6.78009E+11	7.5578E+11	8.17698E+11	8.24212E+11	8.57669E+11	8.51124E+11
Armenia	8558329070	7808540588	4648166189	4339987551	4671695182	5098201644	5495760949	5775463511	6264326459	6570077115	7116035771	7973754959	9163746289	10658796163	12098309164	14219082019	16590220304	19373470462	21116494555	18266187204	18896045357	20192628680	22045237582	23140511633	24403817572
American Samoa																									
