country,year,ppp
"Albania",1990,8.947e+09
"Albania",1991,6.509e+09
"Albania",1992,6.178e+09
"Albania",1993,6.933e+09
"Albania",1994,7.668e+09
"Albania",1995,8.869e+09
"Albania",1996,9.852e+09
"Albania",1997,8.935e+09
"Albania",1998,1.004e+10
"Albania",1999,1.147e+10
"Albania",2000,1.245e+10
"Albania",2001,1.364e+10
"Albania",2002,1.451e+10
"Albania",2003,1.555e+10
"Albania",2004,1.672e+10
"Albania",2005,1.790e+10
"Albania",2006,1.985e+10
"Albania",2007,2.166e+10
"Albania",2008,2.425e+10
"Albania",2009,2.580e+10
"Albania",2010,2.807e+10
"Albania",2011,2.966e+10
"Albania",2012,3.053e+10
"Albania",2013,3.060e+10
"Albania",2014,3.253e+10
"Algeria",1990,1.714e+11
"Algeria",1991,1.750e+11
"Algeria",1992,1.822e+11
"Algeria",1993,1.827e+11
"Algeria",1994,1.849e+11
"Algeria",1995,1.959e+11
"Algeria",1996,2.076e+11
"Algeria",1997,2.135e+11
"Algeria",1998,2.269e+11
"Algeria",1999,2.377e+11
"Algeria",2000,2.524e+11
"Algeria",2001,2.659e+11
"Algeria",2002,2.851e+11
"Algeria",2003,3.118e+11
"Algeria",2004,3.341e+11
"Algeria",2005,3.652e+11
"Algeria",2006,3.828e+11
"Algeria",2007,4.062e+11
"Algeria",2008,4.240e+11
"Algeria",2009,4.342e+11
"Algeria",2010,4.555e+11
"Algeria",2011,4.783e+11
"Algeria",2012,5.035e+11
"Algeria",2013,5.258e+11
"Algeria",2014,5.556e+11
"Andorra",1990,
"Andorra",1991,
"Andorra",1992,
"Andorra",1993,
"Andorra",1994,
"Andorra",1995,
"Andorra",1996,
"Andorra",1997,
"Andorra",1998,
"Andorra",1999,
"Andorra",2000,
"Andorra",2001,
"Andorra",2002,
"Andorra",2003,
"Andorra",2004,
"Andorra",2005,
"Andorra",2006,
"Andorra",2007,
"Andorra",2008,
"Andorra",2009,
"Andorra",2010,
"Andorra",2011,
"Andorra",2012,
"Andorra",2013,
"Andorra",2014,
"Argentina",1990,2.288e+11
"Argentina",1991,2.664e+11
"Argentina",1992,3.050e+11
"Argentina",1993,3.307e+11
"Argentina",1994,3.574e+11
"Argentina",1995,3.545e+11
"Argentina",1996,3.809e+11
"Argentina",1997,4.189e+11
"Argentina",1998,4.397e+11
"Argentina",1999,4.313e+11
"Argentina",2000,4.377e+11
"Argentina",2001,4.279e+11
"Argentina",2002,3.871e+11
"Argentina",2003,4.297e+11
"Argentina",2004,4.814e+11
"Argentina",2005,5.409e+11
"Argentina",2006,6.024e+11
"Argentina",2007,6.741e+11
"Argentina",2008,7.152e+11
"Argentina",2009,6.780e+11
"Argentina",2010,7.558e+11
"Argentina",2011,8.177e+11
"Argentina",2012,8.242e+11
"Argentina",2013,8.577e+11
"Argentina",2014,8.511e+11
"Armenia",1990,8.558e+09
"Armenia",1991,7.809e+09
"Armenia",1992,4.648e+09
"Armenia",1993,4.340e+09
"Armenia",1994,4.672e+09
"Armenia",1995,5.098e+09
"Armenia",1996,5.496e+09
"Armenia",1997,5.775e+09
"Armenia",1998,6.264e+09
"Armenia",1999,6.570e+09
"Armenia",2000,7.116e+09
"Armenia",2001,7.974e+09
"Armenia",2002,9.164e+09
"Armenia",2003,1.066e+10
"Armenia",2004,1.210e+10
"Armenia",2005,1.422e+10
"Armenia",2006,1.659e+10
"Armenia",2007,1.937e+10
"Armenia",2008,2.112e+10
"Armenia",2009,1.827e+10
"Armenia",2010,1.890e+10
"Armenia",2011,2.019e+10
"Armenia",2012,2.205e+10
"Armenia",2013,2.314e+10
"Armenia",2014,2.440e+10
"Australia",1990,2.964e+11
"Australia",1991,3.081e+11
"Australia",1992,3.190e+11
"Australia",1993,3.387e+11
"Australia",1994,3.595e+11
"Australia",1995,3.787e+11
"Australia",1996,4.037e+11
"Australia",1997,4.260e+11
"Australia",1998,4.534e+11
"Australia",1999,4.788e+11
"Australia",2000,5.045e+11
"Australia",2001,5.319e+11
"Australia",2002,5.643e+11
"Australia",2003,5.912e+11
"Australia",2004,6.317e+11
"Australia",2005,6.647e+11
"Australia",2006,7.117e+11
"Australia",2007,7.621e+11
"Australia",2008,7.970e+11
"Australia",2009,8.734e+11
"Australia",2010,8.642e+11
"Australia",2011,9.334e+11
"Australia",2012,9.686e+11
"Australia",2013,1.056e+12
"Australia",2014,1.095e+12
"Azerbaijan",1990,3.939e+10
"Azerbaijan",1991,4.042e+10
"Azerbaijan",1992,3.200e+10
"Azerbaijan",1993,2.519e+10
"Azerbaijan",1994,2.066e+10
"Azerbaijan",1995,1.860e+10
"Azerbaijan",1996,1.919e+10
"Azerbaijan",1997,2.065e+10
"Azerbaijan",1998,2.296e+10
"Azerbaijan",1999,2.503e+10
"Azerbaijan",2000,2.845e+10
"Azerbaijan",2001,3.198e+10
"Azerbaijan",2002,3.591e+10
"Azerbaijan",2003,4.073e+10
"Azerbaijan",2004,4.611e+10
"Azerbaijan",2005,6.016e+10
"Azerbaijan",2006,8.340e+10
"Azerbaijan",2007,1.071e+11
"Azerbaijan",2008,1.209e+11
"Azerbaijan",2009,1.333e+11
"Azerbaijan",2010,1.415e+11
"Azerbaijan",2011,1.445e+11
"Azerbaijan",2012,1.504e+11
"Azerbaijan",2013,1.617e+11
"Azerbaijan",2014,1.679e+11
"Bahrain",1990,1.126e+10
"Bahrain",1991,1.294e+10
"Bahrain",1992,1.412e+10
"Bahrain",1993,1.631e+10
"Bahrain",1994,1.662e+10
"Bahrain",1995,1.763e+10
"Bahrain",1996,1.869e+10
"Bahrain",1997,1.960e+10
"Bahrain",1998,2.076e+10
"Bahrain",1999,2.198e+10
"Bahrain",2000,2.368e+10
"Bahrain",2001,2.482e+10
"Bahrain",2002,2.611e+10
"Bahrain",2003,2.823e+10
"Bahrain",2004,3.104e+10
"Bahrain",2005,3.420e+10
"Bahrain",2006,3.753e+10
"Bahrain",2007,4.173e+10
"Bahrain",2008,4.520e+10
"Bahrain",2009,4.670e+10
"Bahrain",2010,4.932e+10
"Bahrain",2011,5.134e+10
"Bahrain",2012,5.424e+10
"Bahrain",2013,5.810e+10
"Bahrain",2014,6.171e+10
"Bangladesh",1990,8.840e+10
"Bangladesh",1991,9.452e+10
"Bangladesh",1992,1.019e+11
"Bangladesh",1993,1.093e+11
"Bangladesh",1994,1.159e+11
"Bangladesh",1995,1.244e+11
"Bangladesh",1996,1.324e+11
"Bangladesh",1997,1.407e+11
"Bangladesh",1998,1.496e+11
"Bangladesh",1999,1.590e+11
"Bangladesh",2000,1.712e+11
"Bangladesh",2001,1.840e+11
"Bangladesh",2002,1.940e+11
"Bangladesh",2003,2.073e+11
"Bangladesh",2004,2.241e+11
"Bangladesh",2005,2.465e+11
"Bangladesh",2006,2.710e+11
"Bangladesh",2007,2.978e+11
"Bangladesh",2008,3.219e+11
"Bangladesh",2009,3.408e+11
"Bangladesh",2010,3.641e+11
"Bangladesh",2011,3.957e+11
"Bangladesh",2012,4.293e+11
"Bangladesh",2013,4.624e+11
"Bangladesh",2014,4.992e+11
"Belarus",1990,5.501e+10
"Belarus",1991,5.616e+10
"Belarus",1992,5.193e+10
"Belarus",1993,4.912e+10
"Belarus",1994,4.430e+10
"Belarus",1995,4.052e+10
"Belarus",1996,4.242e+10
"Belarus",1997,4.806e+10
"Belarus",1998,5.266e+10
"Belarus",1999,5.529e+10
"Belarus",2000,5.982e+10
"Belarus",2001,6.408e+10
"Belarus",2002,6.834e+10
"Belarus",2003,7.462e+10
"Belarus",2004,8.545e+10
"Belarus",2005,9.649e+10
"Belarus",2006,1.094e+11
"Belarus",2007,1.220e+11
"Belarus",2008,1.370e+11
"Belarus",2009,1.384e+11
"Belarus",2010,1.510e+11
"Belarus",2011,1.626e+11
"Belarus",2012,1.685e+11
"Belarus",2013,1.730e+11
"Belarus",2014,1.791e+11
"Bosnia",1990,
"Bosnia",1991,
"Bosnia",1992,
"Bosnia",1993,
"Bosnia",1994,3.749e+09
"Bosnia",1995,4.623e+09
"Bosnia",1996,8.894e+09
"Bosnia",1997,1.216e+10
"Bosnia",1998,1.421e+10
"Bosnia",1999,1.581e+10
"Bosnia",2000,1.706e+10
"Bosnia",2001,1.786e+10
"Bosnia",2002,1.931e+10
"Bosnia",2003,2.021e+10
"Bosnia",2004,2.209e+10
"Bosnia",2005,2.440e+10
"Bosnia",2006,2.790e+10
"Bosnia",2007,3.080e+10
"Bosnia",2008,3.390e+10
"Bosnia",2009,3.373e+10
"Bosnia",2010,3.467e+10
"Bosnia",2011,3.653e+10
"Bosnia",2012,3.715e+10
"Bosnia",2013,3.903e+10
"Bosnia",2014,3.981e+10
"Brazil",1990,9.986e+11
"Brazil",1991,1.047e+12
"Brazil",1992,1.066e+12
"Brazil",1993,1.143e+12
"Brazil",1994,1.229e+12
"Brazil",1995,1.310e+12
"Brazil",1996,1.364e+12
"Brazil",1997,1.434e+12
"Brazil",1998,1.454e+12
"Brazil",1999,1.484e+12
"Brazil",2000,1.580e+12
"Brazil",2001,1.638e+12
"Brazil",2002,1.714e+12
"Brazil",2003,1.768e+12
"Brazil",2004,1.922e+12
"Brazil",2005,2.047e+12
"Brazil",2006,2.193e+12
"Brazil",2007,2.389e+12
"Brazil",2008,2.559e+12
"Brazil",2009,2.576e+12
"Brazil",2010,2.803e+12
"Brazil",2011,2.975e+12
"Brazil",2012,3.088e+12
"Brazil",2013,3.232e+12
"Brazil",2014,3.307e+12
"Bulgaria",1990,4.525e+10
"Bulgaria",1991,4.281e+10
"Bulgaria",1992,4.060e+10
"Bulgaria",1993,4.095e+10
"Bulgaria",1994,4.259e+10
"Bulgaria",1995,4.472e+10
"Bulgaria",1996,4.703e+10
"Bulgaria",1997,4.726e+10
"Bulgaria",1998,4.961e+10
"Bulgaria",1999,4.722e+10
"Bulgaria",2000,5.208e+10
"Bulgaria",2001,5.562e+10
"Bulgaria",2002,6.087e+10
"Bulgaria",2003,6.515e+10
"Bulgaria",2004,7.080e+10
"Bulgaria",2005,7.870e+10
"Bulgaria",2006,8.644e+10
"Bulgaria",2007,9.734e+10
"Bulgaria",2008,1.074e+11
"Bulgaria",2009,1.053e+11
"Bulgaria",2010,1.106e+11
"Bulgaria",2011,1.152e+11
"Bulgaria",2012,1.184e+11
"Bulgaria",2013,1.208e+11
"Bulgaria",2014,1.265e+11
"Burkina Faso",1990,4.808e+09
"Burkina Faso",1991,5.419e+09
"Burkina Faso",1992,5.556e+09
"Burkina Faso",1993,5.885e+09
"Burkina Faso",1994,6.089e+09
"Burkina Faso",1995,6.571e+09
"Burkina Faso",1996,7.428e+09
"Burkina Faso",1997,8.033e+09
"Burkina Faso",1998,8.713e+09
"Burkina Faso",1999,9.501e+09
"Burkina Faso",2000,9.894e+09
"Burkina Faso",2001,1.079e+10
"Burkina Faso",2002,1.143e+10
